2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
2024-07-04 18:32:58 {'x_pos': 0, 'y_pos': 0, 't_pos': 0, 'x_vel': 0, 'y_vel': 0, 't_vel': 0}
2024-07-04 18:32:58 {'yaw': 3598, 'pitch': 0, 'roll': 40, 'x_acceleration': 0, 'y_acceleration': 0, 'z_acceleration': -6}
